step_index,E_pdr_m,N_pdr_m,E_rtk_m,N_rtk_m,error_m
112,57.879943,40.544840,-54.717509,39.086326,112.606897
113,58.549280,40.329357,-55.355045,39.097229,113.910989
114,59.234175,40.146638,-55.981315,39.046059,115.220746
115,59.893494,39.917781,-56.581338,39.020926,116.478285
116,60.544009,39.695177,-57.270294,38.953189,117.816640
117,61.192990,39.454150,-57.895733,38.945874,119.089808
118,61.828990,39.202111,-58.552599,38.899887,120.381969
119,62.484479,38.955266,-59.128541,38.856190,121.613060
120,63.116961,38.701230,-59.808592,38.717457,122.925554
121,63.756211,38.409147,-60.450978,38.629118,124.207384
122,64.393272,38.135747,-61.112678,38.508083,125.506503
123,65.020909,37.828303,-61.732473,38.427203,126.754797
124,65.665245,37.542366,-62.425206,38.321818,128.092823
125,66.266788,37.189786,-63.036260,38.254107,129.307428
126,66.886782,36.864726,-63.701542,38.093347,130.594104
127,67.493133,36.517064,-64.314025,37.993567,131.815428
128,68.093387,36.175365,-64.954559,37.854584,133.058542
129,68.683108,35.824679,-65.573544,37.718939,134.270014
130,69.266025,35.459295,-66.227241,37.517244,135.508894
131,69.848831,35.084230,-66.839052,37.376282,136.707099
132,70.418856,34.674090,-67.492951,37.147827,137.933991
133,70.987737,34.254591,-68.118623,36.988895,139.133231
134,71.575802,33.837101,-68.730744,36.743359,140.336643
135,72.150584,33.433484,-69.343231,36.527843,141.527647
136,72.749721,33.065791,-69.957371,36.234793,142.742274
137,73.291112,32.650528,-70.535212,36.007840,143.865503
138,73.858137,32.269999,-71.172365,35.714806,145.071407
139,74.386729,31.848626,-71.734633,35.474551,146.166342
140,74.936920,31.426614,-72.355778,35.171309,147.340292
141,75.453825,30.972993,-72.942985,34.906185,148.448925
142,75.991902,30.522265,-73.538799,34.598530,149.586251
143,76.533918,30.069245,-74.102578,34.319481,150.696444
144,77.060343,29.626487,-74.707871,33.974754,151.830492
145,77.579828,29.161199,-75.278508,33.719863,152.926297
146,78.095453,28.693852,-75.865149,33.383001,154.031994
147,78.596357,28.207437,-76.437962,33.087877,155.111118
148,79.082908,27.720175,-77.076106,32.770367,156.240655
149,79.539601,27.202346,-77.645328,32.479183,157.273478
150,80.029672,26.720894,-78.213512,32.173902,158.337111
151,80.498961,26.222052,-78.756738,31.878819,159.356131
152,80.970495,25.745845,-79.325813,31.524664,160.400440
153,81.424927,25.240285,-79.841698,31.180997,161.376010
154,81.891195,24.740471,-80.350581,30.792086,162.354599
155,82.326742,24.211299,-80.848405,30.400366,163.292477
156,82.765694,23.690884,-81.333399,29.972032,164.219259
157,83.164918,23.148051,-81.827444,29.576230,165.117537
158,83.587891,22.630706,-82.330499,29.104224,166.044628
159,83.995690,22.090549,-82.774834,28.672643,166.900364
160,84.412294,21.543176,-83.290328,28.176512,167.833759
161,84.809066,20.959533,-83.738726,27.800970,168.686584
162,85.242280,20.408465,-84.238941,27.321306,169.622144
163,85.630058,19.817071,-84.709767,26.901848,170.487096
164,86.021282,19.253857,-85.161141,26.434177,171.332947
165,86.383509,18.679418,-85.600408,25.971445,172.138437
166,86.776513,18.109264,-86.020640,25.466585,172.953711
167,87.128919,17.513223,-86.445713,24.999421,173.735996
168,87.515499,16.954801,-86.890944,24.485265,174.568941
169,87.892102,16.400384,-87.282080,24.047521,175.341019
170,88.283941,15.849845,-87.722497,23.498927,176.172571
171,88.657156,15.277327,-88.115689,23.058039,176.943998
172,89.066955,14.725302,-88.523559,22.571690,177.763766
173,89.414455,14.135383,-88.947099,22.103803,178.539462
174,89.797909,13.569236,-89.338972,21.596225,179.316633
175,90.111647,12.967979,-89.742553,21.108724,180.038344
176,90.478286,12.389857,-90.168680,20.578602,180.832470
177,90.783994,11.768538,-90.508203,20.088737,181.483020
178,91.099704,11.171777,-90.891527,19.527117,182.182930
179,91.399372,10.560832,-91.271901,19.003896,182.866289
180,91.707862,9.963767,-91.619361,18.414887,183.521912
181,92.019776,9.362608,-91.917352,17.929578,184.136526
182,92.316603,8.762206,-92.247787,17.341863,184.763700
183,92.575541,8.144827,-92.604108,16.838555,185.383611
184,92.850806,7.546165,-92.960218,16.294354,186.016848
185,93.105271,6.927023,-93.339775,15.804769,186.656287
186,93.374129,6.320267,-93.683537,15.249989,187.270688
187,93.587008,5.685428,-94.004276,14.744615,187.809901
188,93.823238,5.057863,-94.290525,14.188230,188.335211
189,93.991216,4.415650,-94.567861,13.618230,188.783509
190,94.209898,3.776772,-94.851097,13.025648,189.287088
191,94.386914,3.122628,-95.127961,12.484140,189.745950
192,94.573359,2.460921,-95.422203,11.923606,190.231059
193,94.744246,1.827876,-95.742142,11.383131,190.725895
194,94.911483,1.173465,-96.040006,10.808282,191.194406
195,95.079583,0.514655,-96.312484,10.280778,191.641072
196,95.238631,-0.136228,-96.558578,9.723003,192.050446
197,95.386229,-0.786629,-96.836898,9.165770,192.480598
198,95.538924,-1.427767,-97.129307,8.591114,192.928549
199,95.651720,-2.080593,-97.427864,8.091488,193.347349
200,95.790964,-2.714300,-97.759148,7.470039,193.817870
201,95.883791,-3.362728,-98.046507,6.954127,194.204527
202,96.016487,-4.010852,-98.352537,6.389960,194.647102
203,96.077148,-4.679113,-98.659583,5.868706,195.022180
204,96.171545,-5.349947,-98.954780,5.280940,195.415707
205,96.246960,-6.025129,-99.277901,4.770240,195.822653
206,96.315356,-6.708561,-99.569157,4.184236,196.187144
207,96.376723,-7.389583,-99.894272,3.626545,196.579904
208,96.415549,-8.079745,-100.195002,3.037712,196.924621
209,96.438489,-8.764170,-100.505054,2.476810,197.264084
210,96.463491,-9.454073,-100.788217,1.857053,197.575753
211,96.466118,-10.157078,-101.021469,1.332558,197.821532
212,96.501199,-10.833279,-101.277112,0.703859,198.114527
213,96.477428,-11.500799,-101.571656,0.180903,198.393301
214,96.515270,-12.173078,-101.884397,-0.417969,198.747605
215,96.466691,-12.846232,-102.198521,-0.949643,199.021093
216,96.470451,-13.521874,-102.511349,-1.517733,199.343563
217,96.430526,-14.192600,-102.805048,-2.023230,199.606883
218,96.410538,-14.870678,-103.100550,-2.655008,199.884709
219,96.326483,-15.542833,-103.375628,-3.151866,200.086155
220,96.259342,-16.216055,-103.705059,-3.749459,200.352633
221,96.189207,-16.911565,-103.990927,-4.279307,200.578314
222,96.127113,-17.610511,-104.294463,-4.867746,200.826258
223,96.042842,-18.295143,-104.584545,-5.412547,201.040568
224,95.953815,-18.985220,-104.838806,-5.992212,201.212561
225,95.809976,-19.646919,-105.105101,-6.564611,201.340545
226,95.729926,-20.327681,-105.412184,-7.173078,201.571804
227,95.558869,-21.004343,-105.690399,-7.699628,201.688580
228,95.427907,-21.693211,-105.994976,-8.313127,201.866798
229,95.237291,-22.362893,-106.316953,-8.809042,202.009456
230,95.071107,-23.005773,-106.599488,-9.355968,202.132002
231,94.914104,-23.654203,-106.929366,-9.878050,202.313047
232,94.722757,-24.309882,-107.226953,-10.472361,202.423226
233,94.551637,-24.978538,-107.510482,-10.984356,202.546136
234,94.367391,-25.642584,-107.808994,-11.591848,202.664041
235,94.195200,-26.304597,-108.087850,-12.107821,202.780622
236,94.049770,-26.979344,-108.399272,-12.709289,202.951347
237,93.826639,-27.628691,-108.742974,-13.231051,203.080625
238,93.655623,-28.301471,-109.013731,-13.797602,203.187669
239,93.417266,-28.957421,-109.346508,-14.338729,203.290074
240,93.221281,-29.638586,-109.639151,-15.001207,203.387826
241,92.980370,-30.318838,-109.952154,-15.532309,203.470516
242,92.749323,-30.983258,-110.245569,-16.135665,203.537164
243,92.541685,-31.644627,-110.603695,-16.664521,203.696954
244,92.318882,-32.309131,-110.934606,-17.217994,203.812961
245,92.130723,-32.988929,-111.266413,-17.754541,203.966863
246,91.910541,-33.659868,-111.623994,-18.354333,204.109202
247,91.646576,-34.316823,-111.957948,-18.912836,204.186398
248,91.414738,-34.968165,-112.254679,-19.514793,204.254836
249,91.129405,-35.611887,-112.516062,-20.036447,204.240227
250,90.900113,-36.250240,-112.811536,-20.676976,204.306051
251,90.617828,-36.882769,-113.094986,-21.249669,204.311782
252,90.348037,-37.529272,-113.375903,-21.881702,204.323984
253,90.077100,-38.186255,-113.640369,-22.456470,204.323844
254,89.805964,-38.817700,-113.910513,-23.103460,204.321659
255,89.545878,-39.455108,-114.223854,-23.656846,204.381234
256,89.252733,-40.071732,-114.531457,-24.277950,204.395303
257,88.949139,-40.674650,-114.822914,-24.791479,204.390129
258,88.658014,-41.317232,-115.158648,-25.410160,204.436461
259,88.336435,-41.942492,-115.480449,-25.954886,204.442964
260,88.077179,-42.601296,-115.746291,-26.564567,204.453378
261,87.743790,-43.215587,-116.031876,-27.113894,204.410828
262,87.444677,-43.839233,-116.289480,-27.733791,204.369743
263,87.097012,-44.437578,-116.583282,-28.298500,204.318702
264,86.740668,-45.036362,-116.865560,-28.910126,204.243854
265,86.398791,-45.644108,-117.190286,-29.486890,204.229205
266,86.016246,-46.253189,-117.520627,-30.093964,204.177324
267,85.664502,-46.880277,-117.842797,-30.650151,204.153466
268,85.321817,-47.511251,-118.146230,-31.232153,204.118238
269,84.942334,-48.105419,-118.498374,-31.771281,204.095384
270,84.606288,-48.718173,-118.804905,-32.381329,204.066180
271,84.206228,-49.277071,-119.139052,-32.953655,203.999404
272,83.836240,-49.877756,-119.438461,-33.524915,203.931409
273,83.436724,-50.430889,-119.735440,-34.096805,203.827698
274,83.059428,-51.004590,-120.030085,-34.720310,203.741326
275,82.678630,-51.584036,-120.323678,-35.260891,203.657512
276,82.275344,-52.173496,-120.582288,-35.873308,203.511462
277,81.890123,-52.760912,-120.875676,-36.431186,203.422293
278,81.486240,-53.363830,-121.186255,-37.031251,203.329519
279,81.063173,-53.943741,-121.505033,-37.545368,203.230865
280,80.664112,-54.545164,-121.850542,-38.143692,203.177738
281,80.225079,-55.107362,-122.179410,-38.689007,203.069297
282,79.824599,-55.677880,-122.500456,-39.307341,202.986261
283,79.364236,-56.210018,-122.803868,-39.879550,202.826593
284,78.935340,-56.771668,-123.103266,-40.488396,202.693718
285,78.477240,-57.318467,-123.396453,-41.035142,202.529343
286,78.025223,-57.873560,-123.718883,-41.678052,202.393129
287,77.588753,-58.432834,-124.028478,-42.236209,202.266751
288,77.147442,-58.976688,-124.314845,-42.808564,202.110023
289,76.702145,-59.510215,-124.618770,-43.374749,201.966492
290,76.250365,-60.063461,-124.919880,-44.006594,201.810036
291,75.775893,-60.581593,-125.196424,-44.576116,201.608649
292,75.334048,-61.120151,-125.487328,-45.162343,201.454404
293,74.850663,-61.617429,-125.760267,-45.706884,201.240877
294,74.389112,-62.138215,-126.117945,-46.341993,201.128318
295,73.893991,-62.630619,-126.449446,-46.889128,200.960910
296,73.413062,-63.140156,-126.780720,-47.473409,200.805869
297,72.912486,-63.634539,-127.073450,-48.032149,200.593642
298,72.426533,-64.131117,-127.381665,-48.636342,200.408093
299,71.952875,-64.633848,-127.634213,-49.207403,200.182369
300,71.484142,-65.124385,-127.926014,-49.807248,199.997563
301,71.020218,-65.623120,-128.211311,-50.396637,199.812532
302,70.519852,-66.095723,-128.552819,-51.017986,199.642846
303,69.987286,-66.566813,-128.869081,-51.568435,199.421177
304,69.492388,-67.054308,-129.211453,-52.144637,199.262427
305,68.970619,-67.507729,-129.529192,-52.701328,199.051261
306,68.462703,-67.977587,-129.859320,-53.312718,198.863479
307,67.922764,-68.433589,-130.132485,-53.872907,198.589766
308,67.398387,-68.910748,-130.407273,-54.509932,198.329177
309,66.860900,-69.379265,-130.635174,-55.101882,198.011472
310,66.335369,-69.862383,-130.897834,-55.738997,197.738228
311,65.792406,-70.344766,-131.164612,-56.311665,197.456311
312,65.265676,-70.829951,-131.396506,-56.910129,197.154192
313,64.730170,-71.293339,-131.652981,-57.488295,196.867776
314,64.207337,-71.758745,-131.906736,-58.120550,196.587716
315,63.649570,-72.187127,-132.191567,-58.695579,196.305305
316,63.114970,-72.629419,-132.482760,-59.323935,196.049759
317,62.527082,-73.025015,-132.749441,-59.884269,195.718164
318,61.977808,-73.467216,-133.049540,-60.524366,195.456347
319,61.405955,-73.880549,-133.319770,-61.067274,195.146838
320,60.888150,-74.319575,-133.647394,-61.690809,194.945028
321,60.333871,-74.734401,-133.942827,-62.225863,194.678964
